val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc,test_loss,test_acc
0.2897094190120697,0.5437325835227966,1759388032.0,0,255,,,,
,,,0,255,0.6345735788345337,0.3989470601081848,,
0.21153627336025238,0.6870706081390381,1759388032.0,1,511,,,,
,,,1,511,0.2716507911682129,0.5505857467651367,,
0.12291549146175385,0.7781690359115601,1759388288.0,2,767,,,,
,,,2,767,0.18469864130020142,0.6916700601577759,,
0.08822092413902283,0.8437016606330872,1759388288.0,3,1023,,,,
,,,3,1023,0.15221251547336578,0.7553655505180359,,
0.10105063021183014,0.8105357885360718,1759388288.0,4,1279,,,,
,,,4,1279,0.11272701621055603,0.8117688894271851,,
0.123825304210186,0.8042553067207336,1759388288.0,5,1535,,,,
,,,5,1535,0.10082536935806274,0.8346019387245178,,
0.08258282393217087,0.8770545721054077,1759388288.0,6,1791,,,,
,,,6,1791,0.09405199438333511,0.8466079235076904,,
0.0661296471953392,0.9039735198020935,1759388288.0,7,2047,,,,
,,,7,2047,0.08991872519254684,0.8487654328346252,,
0.06203610077500343,0.882167637348175,1759388288.0,8,2303,,,,
,,,8,2303,0.08615583926439285,0.861187219619751,,
0.057791177183389664,0.9283784031867981,1759388288.0,9,2559,,,,
,,,9,2559,0.08098448067903519,0.8693739175796509,,
,,,10,2560,,,0.05878094583749771,0.9205076694488525
