val_loss,val_acc,timestamp,epoch,step,train_loss,train_acc
2.637929649642972e+20,0.1785714328289032,1756731008.0,0,19,,
,,,0,19,2.9798045823873633e+20,0.12371134012937546
1.5944493103402975e+20,0.1428571492433548,1756731008.0,1,39,,
,,,1,39,7.08966786439825e+20,0.1494845300912857
3.99009849417027e+20,0.5,1756731008.0,2,59,,
,,,2,59,2.926551451934172e+20,0.26288658380508423
1.3118012866641999e+20,0.3214285671710968,1756731008.0,3,79,,
,,,3,79,2.3184800042149793e+20,0.3505154550075531
2.6488628414258558e+20,0.2857142984867096,1756731136.0,4,99,,
,,,4,99,1.405414674223281e+20,0.592783510684967
2.531786271554221e+19,0.6785714030265808,1756731136.0,5,119,,
,,,5,119,8.28596888504086e+19,0.5154638886451721
1.3764136256755728e+19,0.5,1756731136.0,6,139,,
,,,6,139,1.1992816427338826e+19,0.7010309100151062
9.432704757132165e+18,0.7142857313156128,1756731136.0,7,159,,
,,,7,159,3.6248031391205294e+18,0.7835051417350769
8.046623015762395e+18,0.6785714030265808,1756731264.0,8,179,,
,,,8,179,4.995237455637512e+18,0.8247422575950623
4.0813363098917274e+18,0.75,1756731264.0,9,199,,
,,,9,199,3.2479980303805317e+18,0.8247422575950623
3.1648672547392717e+18,0.7857142686843872,1756731264.0,10,219,,
,,,10,219,8.746035006574428e+17,0.8865979313850403
4.0396917572338975e+18,0.7857142686843872,1756731264.0,11,239,,
,,,11,239,4.336061199490744e+17,0.938144326210022
2.99877942629394e+18,0.8214285969734192,1756731392.0,12,259,,
,,,12,259,6.378998127961047e+17,0.9329897165298462
2.7558797155321774e+18,0.8214285969734192,1756731392.0,13,279,,
,,,13,279,5.141170686189896e+17,0.9432989954948425
